globalseqno,time,source_type,transport,transcode,host,servicename
20170806-231228-417694,2017-08-06T15:12:32.066Z,pmstoudasystem,touda.syslog.transport.HTTP_USR_01,J_USR_006_0001,x-shcs-bsc-v29,null
2b86c31a-5812-461b-95cf-4e6264bb02ca,2017-08-06T04:03:52.544Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v29,com.pccc.pms.pub.servicecustom.
8863bea1-0887-4a25-8f7e-9783d835d5a7,2017-08-06T04:06:59.826Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v29,com.pccc.pms.pub.servicecustom.
2b86c31a-5812-461b-95cf-4e6264bb02ca,2017-08-06T04:03:52.506Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v29,com.pccc.pms.pub.servicecustom.
8863bea1-0887-4a25-8f7e-9783d835d5a7,2017-08-06T04:06:59.708Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v29,com.pccc.pms.pub.servicecustom.
8863bea1-0887-4a25-8f7e-9783d835d5a7,2017-08-06T04:06:59.826Z,pmstoudaproxy,null,J_PUB_901_0001,x-shcs-bsc-v29,com.pccc.pms.pub.servicecustom.
6c4c8e91-74f0-464c-a2dd-9c94707d7eb0,2017-08-04T16:13:32.641Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
9771fb57-619a-444e-8232-546500b81720,2017-08-04T16:30:14.004Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a1aae33f-5812-4b91-b790-b15fe8e93fd6,2017-08-04T16:44:23.758Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
8ab341b6-f006-4b15-a55b-cf045244487b,2017-08-04T16:49:33.730Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4d3755d6-53c2-48e3-8e3b-299bfdb98ae7,2017-08-04T16:49:36.247Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
